file,index,ground_truth,predicted,confidence,evidence_type,inference_time
result_0.json,0,0,0,High,no_evidence,12.824051141738892
result_1.json,1,1,1,High,no_evidence,8.257396697998047
result_10.json,10,0,0,High,no_evidence,16.888600826263428
result_1000.json,1000,0,0,High,no_evidence,14.94590425491333
result_1001.json,1001,1,1,High,no_evidence,12.287109613418579
result_1002.json,1002,0,1,Medium,no_evidence,23.487043142318726
result_1003.json,1003,1,1,Low,no_evidence,12.476948022842407
result_1004.json,1004,0,0,High,no_evidence,13.616253137588501
result_1005.json,1005,1,1,High,no_evidence,10.28640079498291
result_1006.json,1006,0,0,High,no_evidence,30.931997537612915
result_1007.json,1007,1,1,Low,no_evidence,15.57383394241333
result_1008.json,1008,0,0,High,no_evidence,16.48855471611023
result_1009.json,1009,1,1,High,no_evidence,13.137950420379639
result_1012.json,1012,0,0,High,no_evidence,14.926350831985474
result_1013.json,1013,1,1,High,no_evidence,23.195356845855713
result_1014.json,1014,0,0,High,no_evidence,36.82967138290405
result_1015.json,1015,1,1,High,no_evidence,20.816560983657837
result_1016.json,1016,0,0,High,no_evidence,12.180122375488281
result_1017.json,1017,1,1,High,no_evidence,17.132436990737915
result_1018.json,1018,0,1,High,no_evidence,23.775116443634033
result_1019.json,1019,1,1,High,no_evidence,20.597148418426514
result_1020.json,1020,0,0,High,no_evidence,13.53858470916748
result_1021.json,1021,1,1,High,no_evidence,17.521061658859253
result_1022.json,1022,0,0,Medium,no_evidence,24.4845290184021
result_1023.json,1023,1,1,High,no_evidence,22.9522647857666
result_1024.json,1024,0,0,High,no_evidence,15.435935497283936
result_1025.json,1025,1,1,High,no_evidence,25.830832958221436
result_1026.json,1026,0,1,High,no_evidence,17.85901975631714
result_1027.json,1027,1,1,High,no_evidence,23.784483671188354
result_1028.json,1028,0,0,High,no_evidence,15.533467292785645
result_1029.json,1029,1,1,High,no_evidence,10.38366413116455
result_1030.json,1030,0,0,High,no_evidence,8.371238470077515
result_1031.json,1031,1,1,High,no_evidence,6.007174015045166
result_1032.json,1032,0,0,High,no_evidence,16.36930227279663
result_1033.json,1033,1,0,High,no_evidence,10.540746450424194
result_1034.json,1034,0,1,High,no_evidence,34.711098194122314
result_1035.json,1035,1,1,High,no_evidence,17.111876249313354
result_1036.json,1036,0,0,High,no_evidence,23.39866614341736
result_1037.json,1037,1,1,High,no_evidence,13.85151481628418
result_1038.json,1038,0,1,High,no_evidence,39.17462468147278
result_1039.json,1039,1,1,High,no_evidence,31.17786145210266
result_1040.json,1040,0,0,High,no_evidence,28.753108739852905
result_1041.json,1041,1,1,High,no_evidence,17.384485960006714
result_1042.json,1042,0,0,High,no_evidence,8.748137712478638
result_1043.json,1043,1,1,High,no_evidence,6.674901962280273
result_1044.json,1044,0,0,High,no_evidence,10.250353336334229
result_1045.json,1045,1,1,High,no_evidence,33.532941579818726
result_11.json,11,1,1,Low,no_evidence,12.121456146240234
result_12.json,12,0,1,High,no_evidence,28.061279773712158
result_13.json,13,1,1,High,no_evidence,19.100587368011475
result_14.json,14,0,0,High,no_evidence,23.64608120918274
result_15.json,15,1,1,High,no_evidence,16.687591552734375
result_16.json,16,0,0,High,no_evidence,19.927034378051758
result_17.json,17,1,1,Medium,no_evidence,23.590129375457764
result_18.json,18,0,0,High,no_evidence,16.018514156341553
result_19.json,19,1,1,High,no_evidence,17.882213830947876
result_2.json,2,0,1,Low,no_evidence,6.5723371505737305
result_20.json,20,0,0,High,no_evidence,14.575581550598145
result_2000.json,2000,0,0,High,no_evidence,30.97901487350464
result_2001.json,2001,1,0,High,no_evidence,8.817051649093628
result_2002.json,2002,0,0,High,no_evidence,17.226766347885132
result_2003.json,2003,1,1,Medium,no_evidence,9.859403371810913
result_2004.json,2004,0,0,High,no_evidence,32.80330967903137
result_2005.json,2005,1,1,High,no_evidence,23.805449962615967
result_2006.json,2006,0,0,High,no_evidence,23.520949125289917
result_2007.json,2007,1,1,High,no_evidence,19.020397186279297
result_2008.json,2008,0,0,High,no_evidence,21.927760362625122
result_2009.json,2009,1,0,High,no_evidence,20.96334743499756
result_2010.json,2010,0,0,High,no_evidence,8.722938776016235
result_2011.json,2011,1,0,High,no_evidence,10.246624946594238
result_2012.json,2012,0,1,High,no_evidence,21.45357871055603
result_2013.json,2013,1,0,High,no_evidence,13.064077854156494
result_2014.json,2014,0,0,High,no_evidence,24.188657999038696
result_2015.json,2015,1,0,High,no_evidence,21.16754913330078
result_2016.json,2016,0,0,High,no_evidence,19.06538963317871
result_2017.json,2017,1,1,High,no_evidence,9.63604187965393
result_2018.json,2018,0,0,High,no_evidence,25.787850618362427
result_2019.json,2019,1,1,High,no_evidence,11.603796243667603
result_2020.json,2020,0,0,High,no_evidence,29.538554191589355
result_2021.json,2021,1,0,High,no_evidence,15.070732593536377
result_2022.json,2022,0,0,High,no_evidence,22.66967225074768
result_2023.json,2023,1,0,High,no_evidence,8.066536903381348
result_2024.json,2024,0,0,High,no_evidence,22.04753041267395
result_2025.json,2025,1,0,High,no_evidence,11.340297222137451
result_2026.json,2026,0,0,High,no_evidence,24.129026651382446
result_2027.json,2027,1,1,High,no_evidence,11.094187259674072
result_2028.json,2028,0,0,High,no_evidence,14.790289878845215
result_2029.json,2029,1,0,High,no_evidence,12.014717817306519
